composition,band_gap,minimum Number,maximum Number,range Number,mean Number,avg_dev Number,mode Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,maximum AtomicWeight,range AtomicWeight,mean AtomicWeight,avg_dev AtomicWeight,mode AtomicWeight,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,range Column,mean Column,avg_dev Column,mean Row,avg_dev Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,mean NsValence,avg_dev NsValence,mean NpValence,avg_dev NpValence,range NdValence,mean NdValence,avg_dev NdValence,mean NfValence,avg_dev NfValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mean NsUnfilled,avg_dev NsUnfilled,mean NpUnfilled,avg_dev NpUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,maximum NfUnfilled,range NfUnfilled,mean NfUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,range GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mean GSbandgap,avg_dev GSbandgap,mean GSmagmom,avg_dev GSmagmom,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber
Ba4Ga4Ge1Se12,2.18,31.0,56.0,25.0,37.523809523809526,7.038548752834468,34.0,9.0,89.0,80.0,70.42857142857143,23.401360544217685,137.327,67.604,88.01714285714286,18.7847074829932,78.96,1211.4,908.49,588.1447619047619,216.25487528344672,494.0,14.0,12.666666666666666,4.063492063492064,4.380952380952381,0.6167800453514742,120.0,215.0,95.0,138.47619047619048,29.151927437641728,120.0,0.89,2.55,1.6599999999999997,2.067142857142857,0.5518367346938774,2.55,2.0,0.0,2.571428571428572,1.6326530612244898,10.0,8.095238095238095,3.0839002267573696,0.0,0.0,16.0,14.0,12.666666666666666,4.063492063492064,0.0,0.0,2.2857142857142856,1.1972789115646258,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.2857142857142856,1.1972789115646258,18.8575,63.59,44.7325,31.61119047619048,12.182403628117916,0.4748095238095238,0.3705034013605442,0.0,0.0,215.0,74.52380952380952,73.17913832199545
Hg1Se1,0.07,34.0,80.0,46.0,57.0,23.0,34.0,71.0,89.0,18.0,80.0,9.0,200.59,121.63,139.775,60.815000000000005,78.96,494.0,259.68,364.16,129.84,234.32,4.0,14.0,2.0,5.0,1.0,120.0,132.0,12.0,126.0,6.0,120.0,2.0,2.55,0.5499999999999998,2.275,0.2749999999999999,2.0,2.0,0.0,2.0,2.0,0.0,10.0,0.0,7.0,7.0,26.0,10.0,21.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,25.2375862069,25.92,0.6824137931000003,25.578793103450003,0.3412068965500001,0.3995,0.3995,0.0,0.0,152.0,90.0,76.0
Ag1In5Te8,0.47,47.0,52.0,5.0,50.57142857142857,1.63265306122449,52.0,65.0,90.0,25.0,82.85714285714286,8.16326530612245,127.6,19.7318,121.62558571428572,6.827902040816324,127.6,1234.93,805.1800000000001,654.64,160.63571428571427,722.66,5.0,14.571428571428571,1.6326530612244898,5.0,0.0,138.0,145.0,7.0,139.92857142857142,2.20408163265306,138.0,1.78,2.1,0.32,1.9735714285714288,0.1444897959183673,2.1,1.9285714285714288,0.1326530612244897,2.642857142857143,1.5510204081632657,0.0,10.0,0.0,0.0,0.0,16.0,5.0,14.571428571428571,1.6326530612244898,0.0714285714285714,0.1326530612244897,2.9285714285714284,1.479591836734694,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,1.4285714285714286,16.33,34.7633333333,18.4333333333,29.69547619045714,5.79183673467755,0.2651428571428572,0.2272653061224489,0.0,0.0,86.0,152.57142857142858,10.346938775510214
Rb7Th2P6Se21,2.07,15.0,90.0,75.0,34.52777777777778,7.125000000000002,34.0,4.0,89.0,85.0,67.41666666666667,30.375,232.03806,201.064298,80.73203588888889,18.653466500000004,78.96,2023.0,1710.54,514.195,167.64500000000004,494.0,15.0,12.194444444444445,5.375,4.194444444444445,0.625,107.0,220.0,113.0,142.05555555555554,37.41666666666666,120.0,0.82,2.55,1.73,2.0841666666666665,0.57875,2.55,1.805555555555556,0.3132716049382716,2.833333333333333,1.4166666666666667,10.0,5.944444444444445,4.731481481481481,0.0,0.0,16.0,15.0,10.583333333333334,6.319444444444445,0.1944444444444444,0.3132716049382716,1.6666666666666667,0.8333333333333334,8.0,0.4444444444444444,0.8395061728395061,0.0,0.0,0.0,8.0,7.0,2.305555555555556,0.8641975308641974,22.5702380952,90.7225,68.1522619048,38.32052579364444,20.378545524693823,0.7369166666666667,0.3684583333333334,0.0,0.0,227.0,65.52777777777777,81.29166666666667
Tl1S1,1.37,16.0,81.0,65.0,48.5,32.5,16.0,76.0,88.0,12.0,82.0,6.0,204.3833,172.3183,118.22415,86.15915,32.065,577.0,188.64,482.68,94.32,388.36,3.0,14.5,1.5,4.5,1.5,105.0,145.0,40.0,125.0,20.0,105.0,1.62,2.58,0.96,2.1,0.48,1.62,2.0,0.0,2.5,1.5,10.0,5.0,5.0,7.0,7.0,27.0,21.0,16.5,10.5,0.0,0.0,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.5,1.5,25.786875,26.91,1.1231250000000017,26.3484375,0.5615625000000009,1.101,1.101,0.0,0.0,124.0,132.0,62.0
Cd1S1,2.5,16.0,48.0,32.0,32.0,16.0,16.0,70.0,88.0,18.0,79.0,9.0,112.411,80.346,72.238,40.173,32.065,594.22,205.86,491.29,102.93,388.36,4.0,14.0,2.0,4.0,1.0,105.0,144.0,39.0,124.5,19.5,105.0,1.69,2.58,0.8900000000000001,2.135,0.445,1.69,2.0,0.0,2.0,2.0,10.0,5.0,5.0,0.0,0.0,12.0,6.0,9.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,19.495,25.786875,6.291874999999997,22.6409375,3.1459374999999987,1.101,1.101,0.0,0.0,124.0,132.0,62.0
In2Ge1Te3,0.68,32.0,52.0,20.0,47.66666666666666,5.222222222222224,52.0,75.0,90.0,15.0,83.16666666666667,6.833333333333333,127.6,54.96,114.17933333333332,13.846444444444442,127.6,1211.4,781.6500000000001,706.48,184.48666666666668,722.66,3.0,14.666666666666666,1.3333333333333333,4.833333333333333,0.2777777777777779,120.0,142.0,22.0,136.33333333333334,5.444444444444438,138.0,1.78,2.1,0.32,1.9783333333333333,0.1322222222222221,2.1,2.0,0.0,2.6666666666666665,1.3333333333333333,0.0,10.0,0.0,0.0,0.0,16.0,3.0,14.666666666666666,1.3333333333333333,0.0,0.0,3.333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.333333333333333,1.3333333333333333,23.005,34.7633333333,11.758333333299998,29.302499999983336,5.460833333316664,0.2958333333333333,0.1972222222222222,0.0,0.0,86.0,159.83333333333334,21.72222222222223
Bi1Se1Br1,1.5,34.0,83.0,49.0,50.66666666666666,21.55555555555556,34.0,86.0,95.0,9.0,90.0,3.333333333333333,208.9804,130.0204,122.6148,57.57706666666667,78.96,544.4,278.6,434.73333333333335,112.6222222222222,265.8,2.0,16.0,0.6666666666666666,4.666666666666667,0.888888888888889,120.0,148.0,28.0,129.33333333333334,12.444444444444448,120.0,2.02,2.96,0.94,2.51,0.3266666666666665,2.02,2.0,0.0,4.0,0.6666666666666666,0.0,10.0,0.0,4.666666666666667,6.222222222222222,29.0,13.0,20.666666666666668,5.555555555555556,0.0,0.0,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.6666666666666666,25.92,32.95,7.030000000000001,29.450000000000003,2.353333333333333,0.7520000000000001,0.5013333333333333,0.0,0.0,52.0,30.0,22.666666666666668
Ga1As0.4P0.6,2.1,15.0,33.0,18.0,26.6,6.959999999999999,31.0,74.0,84.0,10.0,78.69999999999999,4.7,74.9216,43.947838,59.1379486,16.89851196,69.723,1090.0,787.0899999999999,464.645,250.14200000000005,302.91,2.0,14.0,1.0,3.7,0.4200000000000001,107.0,122.0,15.0,116.9,5.939999999999998,122.0,1.81,2.19,0.3799999999999999,1.998,0.188,1.81,2.0,0.0,2.0,1.0,10.0,7.0,4.2,0.0,0.0,15.0,10.0,11.0,3.6,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,1.0,18.8575,22.5702380952,3.712738095199999,20.63482142856,1.7773214285599994,0.4875,0.6825,0.0,0.0,164.0,65.8,40.08
K2Au1P1S4,2.63,15.0,79.0,64.0,24.5,13.625,16.0,3.0,88.0,85.0,63.375,30.1875,196.966569,165.992807,54.299616375,35.66673815625,32.065,1337.33,1020.03,485.14125,213.0471875,388.36,15.0,11.5,5.375,3.625,0.78125,105.0,203.0,98.0,133.625,35.28125,105.0,0.82,2.58,1.7600000000000002,2.08625,0.6331250000000002,2.58,1.625,0.46875,2.375,1.78125,10.0,1.25,2.1875,1.75,3.0625,25.0,24.0,7.0,4.5,0.375,0.46875,1.375,1.03125,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.75,0.5625,16.7,73.1066666667,56.40666666669999,36.078883928575,18.5138913690625,1.304125,0.97809375,0.0,0.0,227.0,120.625,80.28125
Pt1As2,0.55,33.0,78.0,45.0,48.0,20.0,33.0,63.0,84.0,21.0,77.0,9.333333333333334,195.084,120.1624,114.97573333333332,53.40551111111111,74.9216,2041.4,951.4,1407.1333333333332,422.8444444444444,1090.0,5.0,13.333333333333334,2.222222222222222,4.666666666666667,0.888888888888889,119.0,136.0,17.0,124.66666666666669,7.555555555555557,119.0,2.18,2.28,0.0999999999999996,2.2133333333333334,0.0444444444444442,2.18,1.6666666666666667,0.4444444444444444,2.0,1.3333333333333333,1.0,9.666666666666666,0.4444444444444446,4.666666666666667,6.222222222222221,24.0,9.0,18.0,4.0,0.3333333333333333,0.4444444444444445,2.0,1.3333333333333333,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,0.0,3.0,1.0,2.6666666666666665,0.4444444444444445,15.02,22.175,7.155000000000001,19.790000000000003,3.18,0.0,0.0,0.0,0.0,59.0,185.66666666666663,26.22222222222221
Gd1.05Sc0.95Se3,1.2,21.0,64.0,43.0,37.83,10.9914,34.0,11.0,89.0,78.0,61.16,33.408,157.25,112.294088,88.94012328,28.6901482224,78.96,1814.0,1320.0,974.12,576.144,494.0,13.0,10.8,6.24,4.42,0.6636,120.0,196.0,76.0,145.45999999999998,30.552,120.0,1.2,2.55,1.35,2.0404,0.6115199999999998,2.55,2.0,0.0,2.4,1.9200000000000004,9.0,6.4,4.32,1.4700000000000002,2.3226,16.0,13.0,12.27,4.476000000000001,0.0,0.0,1.2,0.9600000000000002,9.0,3.6,4.32,7.0,7.0,1.4700000000000002,16.0,14.0,6.2700000000000005,5.1240000000000006,22.235,32.05,9.814999999999998,26.507150000000003,2.3279970000000003,0.4794,0.38352,1.2065e-06,1.95453e-06,180.0,86.0,86.4
Cs2Zn1Ge3Se8,2.31,30.0,55.0,25.0,36.285714285714285,5.346938775510203,34.0,5.0,89.0,84.0,73.42857142857143,20.183673469387752,132.9054519,67.52545190000001,84.3422074142857,13.875212710204073,78.96,1211.4,909.8100000000002,634.4328571428572,255.59265306122447,494.0,15.0,13.142857142857142,3.6326530612244894,4.285714285714286,0.4897959183673468,120.0,244.0,124.0,137.85714285714286,30.326530612244905,120.0,0.79,2.55,1.7599999999999998,2.1185714285714283,0.4930612244897959,2.55,1.8571428571428568,0.2448979591836734,2.7142857142857144,1.469387755102041,10.0,8.571428571428571,2.4489795918367347,0.0,0.0,16.0,15.0,13.142857142857142,3.6326530612244894,0.1428571428571428,0.2448979591836734,2.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.142857142857143,0.7959183673469388,13.96,115.765,101.805,37.27607142857143,22.425408163265303,0.5386428571428572,0.2975510204081632,0.0,0.0,215.0,102.78571428571428,101.46938775510203
K1Ag1As1S2,2.21,16.0,47.0,31.0,26.2,11.04,16.0,3.0,88.0,85.0,65.6,25.28,107.8682,75.8032,57.20362,27.353024000000005,32.065,1234.93,898.4000000000001,687.6360000000001,379.86320000000006,388.36,15.0,11.8,4.64,3.8,0.64,105.0,203.0,98.0,135.4,30.880000000000003,105.0,0.82,2.58,1.7600000000000002,2.018,0.5144000000000002,2.58,1.6,0.48,2.2,1.7600000000000002,10.0,4.0,4.8,0.0,0.0,15.0,14.0,7.8,4.159999999999999,0.4,0.4800000000000001,1.4,1.12,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.8,0.6399999999999999,16.33,73.1066666667,56.7766666667,32.637083333339994,16.187833333343995,0.8808,1.05696,0.0,0.0,159.0,152.0,65.6
Pb0.97Se1Sn0.03,0.21,34.0,82.0,48.0,57.52,23.7456,34.0,80.0,89.0,9.0,84.985,4.015,207.2,128.24,141.75265,63.4839295,78.96,600.61,106.61,545.87205,53.0958115,494.0,2.0,15.0,1.0,4.985,0.985,120.0,146.0,26.0,132.895,12.895,120.0,1.96,2.55,0.5899999999999999,2.43445,0.1155499999999998,2.55,2.0,0.0,3.0,1.0,0.0,10.0,0.0,6.79,6.9937,28.0,14.0,21.79,6.023700000000001,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,25.92,33.285,7.364999999999995,27.092625,1.1726249999999987,0.3995,0.3995,0.0,0.0,211.0,118.24,104.24
Al1Sb1,1.67,13.0,51.0,38.0,32.0,19.0,13.0,73.0,85.0,12.0,79.0,6.0,121.76,94.7784614,74.3707693,47.3892307,26.9815386,933.47,29.69000000000005,918.625,14.845000000000027,903.78,2.0,14.0,1.0,4.0,1.0,121.0,139.0,18.0,130.0,9.0,121.0,1.61,2.05,0.4399999999999997,1.83,0.2199999999999998,1.61,2.0,0.0,2.0,1.0,10.0,5.0,5.0,0.0,0.0,15.0,12.0,9.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,1.0,16.48,31.56,15.079999999999998,24.02,7.539999999999999,0.0,0.0,0.0,0.0,59.0,195.5,29.5
Cs1.13Cd1.13Bi2.87Se6,1.0,34.0,83.0,49.0,50.18867924528303,17.898523453525236,34.0,5.0,89.0,84.0,77.76909254267746,16.353665614816,208.9804,130.0204,121.36040778499552,47.53194564366901,78.96,594.22,292.63000000000005,497.63641509433967,43.72883012087001,494.0,15.0,13.813117699910157,2.969927403737096,4.82030548068284,0.8844263942672123,120.0,244.0,124.0,142.2461814914645,23.98510133850621,120.0,0.79,2.55,1.7599999999999998,2.1473315363881404,0.4341438960774768,2.55,1.8984725965858045,0.1824391795403339,2.929919137466308,1.1898683289620582,10.0,8.984725965858042,1.8243917954033395,3.610062893081761,5.3583323444484,29.0,28.0,17.423180592991915,5.970435165878385,0.1015274034141958,0.182439179540334,1.8517520215633425,0.7520142980652567,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.9532794249775385,0.5901907458129805,19.495,115.765,96.27,36.20218328840971,16.15561237809471,0.4307277628032346,0.3970590158455693,0.0,0.0,217.0,53.58760107816712,64.12974331776142
Pt1Sb2,0.11,51.0,78.0,27.0,60.0,12.0,51.0,63.0,85.0,22.0,77.66666666666667,9.777777777777777,195.084,73.324,146.20133333333334,32.58844444444444,121.76,2041.4,1137.62,1282.986666666667,505.60888888888894,903.78,5.0,13.333333333333334,2.222222222222222,5.333333333333333,0.4444444444444443,136.0,139.0,3.0,138.0,1.3333333333333333,139.0,2.05,2.28,0.2299999999999999,2.1266666666666665,0.1022222222222222,2.05,1.6666666666666667,0.4444444444444444,2.0,1.3333333333333333,1.0,9.666666666666666,0.4444444444444446,4.666666666666667,6.222222222222221,24.0,9.0,18.0,4.0,0.3333333333333333,0.4444444444444445,2.0,1.3333333333333333,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,0.0,3.0,1.0,2.6666666666666665,0.4444444444444445,15.02,31.56,16.54,26.046666666666667,7.35111111111111,0.0,0.0,0.0,0.0,59.0,185.66666666666663,26.22222222222221
Hg0.1Zn0.9Te1,1.83,30.0,80.0,50.0,43.5,12.15,52.0,69.0,90.0,21.0,79.6,10.4,200.59,135.21,103.2505,34.08345,127.6,722.66,488.34,684.752,45.043200000000006,722.66,4.0,14.0,2.0,4.6,0.54,122.0,138.0,16.0,130.5,7.65,138.0,1.65,2.1,0.4500000000000002,1.8925,0.21825,2.1,2.0,0.0,2.0,2.0,0.0,10.0,0.0,0.7000000000000001,1.33,26.0,14.0,14.7,2.43,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,13.96,34.7633333333,20.8033333333,24.925545976995,9.868991379295498,0.232,0.232,0.0,0.0,42.0,171.6,20.16
Tl1Bi1Te3,0.5,52.0,83.0,31.0,64.0,14.4,52.0,76.0,90.0,14.0,86.4,4.319999999999999,208.9804,81.38040000000001,159.23273999999998,37.959288,127.6,722.66,178.26,657.876,77.7408,722.66,3.0,15.2,0.9600000000000002,5.4,0.4800000000000001,138.0,148.0,10.0,141.4,4.080000000000001,138.0,1.62,2.1,0.48,1.988,0.1471999999999999,2.1,2.0,0.0,3.2,0.96,0.0,10.0,0.0,5.6,6.719999999999999,29.0,13.0,20.8,5.76,0.0,0.0,2.8,0.96,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.8,0.96,26.91,34.7633333333,7.853333333299997,32.82999999998,2.3679999999920005,0.2784,0.2227199999999999,0.0,0.0,182.0,132.4,48.16
