composition,band_gap,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
Cd3As2,0.14,33.0,48.0,15.0,42.0,7.2,48.0,70.0,84.0,14.0,75.6,6.719999999999999,70.0,74.9216,112.411,37.4894,97.41524,17.994912000000003,112.411,594.22,1090.0,495.78,792.5319999999999,237.9744,594.22,12.0,15.0,3.0,13.2,1.44,12.0,4.0,5.0,1.0,4.6,0.4800000000000001,5.0,119.0,144.0,25.0,134.0,12.0,144.0,1.69,2.18,0.4900000000000002,1.886,0.2352,1.69,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,1.2,1.44,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,3.0,13.2,1.44,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.2,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.2,1.44,0.0,19.495,22.175,2.68,20.567,1.2863999999999998,19.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,194.0,28.0,182.8,13.439999999999998,194.0
In1Sb1,0.25,49.0,51.0,2.0,50.0,1.0,49.0,75.0,85.0,10.0,80.0,5.0,75.0,114.818,121.76,6.942000000000007,118.289,3.471000000000004,114.818,429.75,903.78,474.03,666.765,237.015,429.75,13.0,15.0,2.0,14.0,1.0,13.0,5.0,5.0,0.0,5.0,0.0,5.0,139.0,142.0,3.0,140.5,1.5,139.0,1.78,2.05,0.2699999999999998,1.915,0.1349999999999999,1.78,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0,2.0,14.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,24.26,31.56,7.299999999999997,27.91,3.649999999999999,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,166.0,27.0,152.5,13.5,139.0
Tl1In1S2,2.3,16.0,81.0,65.0,40.5,24.5,16.0,75.0,88.0,13.0,81.75,6.25,88.0,32.065,204.3833,172.3183,95.832825,63.767825,32.065,388.36,577.0,188.64,445.8675,65.56625,388.36,13.0,16.0,3.0,14.5,1.5,16.0,3.0,6.0,3.0,4.25,1.25,3.0,105.0,145.0,40.0,124.25,19.25,105.0,1.62,2.58,0.96,2.14,0.44,2.58,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.5,1.5,4.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,14.0,14.0,3.5,5.25,0.0,6.0,27.0,21.0,13.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.5,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.5,1.5,2.0,24.26,26.91,2.6499999999999986,25.6859375,0.7129687499999982,25.786875,0.0,2.202,2.202,1.101,1.101,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,194.0,124.0,118.25,48.25,70.0
Na2Pt1I6O18,2.4,8.0,78.0,70.0,20.814814814814813,18.540466392318244,8.0,2.0,96.0,94.0,81.81481481481481,13.218106995884776,87.0,15.9994,195.084,179.0846,47.79553920592593,46.06978115248285,15.9994,54.8,2041.4,1986.6,225.5792592592593,227.7056790123457,54.8,1.0,17.0,16.0,14.88888888888889,2.4197530864197527,16.0,2.0,6.0,4.0,2.888888888888889,1.1851851851851851,2.0,66.0,166.0,100.0,92.22222222222224,34.96296296296296,66.0,0.93,3.44,2.51,3.0377777777777784,0.536296296296296,3.44,1.0,2.0,1.0,1.8888888888888888,0.1975308641975308,2.0,0.0,5.0,5.0,3.7777777777777777,0.8395061728395061,4.0,0.0,10.0,10.0,2.555555555555556,3.786008230452675,0.0,0.0,14.0,14.0,0.5185185185185185,0.998628257887517,0.0,1.0,24.0,23.0,8.74074074074074,4.801097393689986,6.0,0.0,1.0,1.0,0.1111111111111111,0.1975308641975308,0.0,0.0,2.0,2.0,1.5555555555555556,0.5925925925925926,2.0,0.0,1.0,1.0,0.037037037037037,0.0713305898491083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.7037037037037035,0.4170096021947874,2.0,9.105,43.015,33.91,18.35135802468889,12.575244627339918,9.105,0.0,1.062,1.062,0.236,0.367111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,47.51851851851852,47.35802469135802,12.0
K6Nb1.07Ta2.93S22,1.88,16.0,73.0,57.0,22.6175,10.455625,16.0,3.0,88.0,85.0,67.0290625,28.8350390625,88.0,32.065,180.94788,148.88288,49.05021609375,27.0866406640625,32.065,336.53,3290.0,2953.4700000000003,723.2906250000001,605.56484375,388.36,1.0,16.0,15.0,11.8125,5.7578125,16.0,3.0,6.0,3.0,3.5290625,0.7274609375000001,3.0,105.0,203.0,98.0,131.299375,36.161640625,105.0,0.82,2.58,1.7600000000000002,2.11834375,0.63477734375,2.58,1.0,2.0,1.0,1.7790625,0.3442482421875,2.0,0.0,4.0,4.0,2.75,1.71875,4.0,0.0,4.0,4.0,0.4084375,0.7147656250000001,0.0,0.0,14.0,14.0,1.281875,2.3290066406250003,0.0,1.0,19.0,18.0,6.219375,2.3404519531250005,6.0,0.0,1.0,1.0,0.2209375,0.3442482421875,0.0,0.0,2.0,2.0,1.375,0.859375,2.0,0.0,7.0,7.0,0.8415625,1.472734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,2.4375,1.140625,2.0,18.12,73.1066666667,54.98666666669999,33.70298281250625,14.776381445322656,25.786875,0.0,2.202,2.202,1.513875,0.946171875,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,229.0,159.0,119.6875,68.3203125,70.0
Os1Sb1Te1,0.05,51.0,76.0,25.0,59.66666666666666,10.888888888888888,51.0,57.0,90.0,33.0,77.33333333333333,13.555555555555555,57.0,121.76,190.23,68.46999999999998,146.53,29.13333333333333,121.76,722.66,3306.0,2583.34,1644.1466666666663,1107.9022222222222,722.66,8.0,16.0,8.0,13.0,3.333333333333333,8.0,5.0,6.0,1.0,5.333333333333333,0.4444444444444443,5.0,138.0,144.0,6.0,140.33333333333334,2.444444444444448,138.0,2.05,2.2,0.1500000000000003,2.1166666666666667,0.0555555555555556,2.05,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.333333333333333,1.5555555555555554,0.0,6.0,10.0,4.0,8.666666666666666,1.777777777777778,6.0,0.0,14.0,14.0,4.666666666666667,6.222222222222222,0.0,15.0,22.0,7.0,17.666666666666668,2.8888888888888893,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.6666666666666667,1.111111111111111,0.0,0.0,4.0,4.0,1.3333333333333333,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,0.6666666666666666,2.0,14.09,34.7633333333,20.6733333333,26.80444444443333,8.476296296288888,14.09,0.0,0.464,0.464,0.1546666666666666,0.2062222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,194.0,42.0,170.66666666666666,15.555555555555552,152.0
Al1Sb1,1.62,13.0,51.0,38.0,32.0,19.0,13.0,73.0,85.0,12.0,79.0,6.0,73.0,26.9815386,121.76,94.7784614,74.3707693,47.3892307,26.9815386,903.78,933.47,29.69000000000005,918.625,14.845000000000027,903.78,13.0,15.0,2.0,14.0,1.0,13.0,3.0,5.0,2.0,4.0,1.0,3.0,121.0,139.0,18.0,130.0,9.0,121.0,1.61,2.05,0.4399999999999997,1.83,0.2199999999999998,1.61,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,16.48,31.56,15.079999999999998,24.02,7.539999999999999,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,225.0,59.0,195.5,29.5,166.0
Sn1S1,1.42,16.0,50.0,34.0,33.0,17.0,16.0,80.0,88.0,8.0,84.0,4.0,80.0,32.065,118.71,86.645,75.38749999999999,43.3225,32.065,388.36,505.08,116.71999999999996,446.72,58.35999999999999,388.36,14.0,16.0,2.0,15.0,1.0,14.0,3.0,5.0,2.0,4.0,1.0,3.0,105.0,139.0,34.0,122.0,17.0,105.0,1.96,2.58,0.6200000000000001,2.27,0.31,1.96,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,25.786875,33.285,7.498124999999998,29.5359375,3.749062499999999,25.786875,0.0,2.202,2.202,1.101,1.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,141.0,71.0,105.5,35.5,70.0
Ag2O1,1.59,8.0,47.0,39.0,34.0,17.333333333333332,47.0,65.0,87.0,22.0,72.33333333333333,9.777777777777777,65.0,15.9994,107.8682,91.8688,77.24526666666667,40.83057777777778,107.8682,54.8,1234.93,1180.13,841.5533333333334,524.5022222222223,1234.93,11.0,16.0,5.0,12.666666666666666,2.222222222222222,11.0,2.0,5.0,3.0,4.0,1.3333333333333333,5.0,66.0,145.0,79.0,118.66666666666669,35.11111111111111,145.0,1.93,3.44,1.51,2.433333333333333,0.6711111111111111,1.93,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,10.0,10.0,6.666666666666667,4.444444444444444,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,9.333333333333334,2.222222222222222,11.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,9.105,16.33,7.224999999999998,13.921666666666669,3.21111111111111,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,154.0,94.66666666666669,225.0
In1N1,2.1,7.0,49.0,42.0,28.0,21.0,7.0,75.0,82.0,7.0,78.5,3.5,75.0,14.0067,114.818,100.8113,64.41235,50.40565,14.0067,63.05,429.75,366.7,246.4,183.35,63.05,13.0,15.0,2.0,14.0,1.0,13.0,2.0,5.0,3.0,3.5,1.5,2.0,71.0,142.0,71.0,106.5,35.5,71.0,1.78,3.04,1.26,2.41,0.63,1.78,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,14.76875,24.26,9.49125,19.514375,4.745625,14.76875,0.0,6.437,6.437,3.2185,3.2185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,194.0,55.0,166.5,27.5,139.0
Y1V1Te1O10,2.2,8.0,52.0,44.0,14.923076923076923,10.650887573964496,8.0,12.0,90.0,78.0,78.3076923076923,15.171597633136097,87.0,15.9994,127.6,111.6006,32.88010384615385,25.970313609467457,15.9994,54.8,2183.0,2128.2,404.0507692307692,537.3088757396449,54.8,3.0,16.0,13.0,14.153846153846152,3.124260355029586,16.0,2.0,5.0,3.0,2.6153846153846154,0.9467455621301776,2.0,66.0,190.0,124.0,87.76923076923077,33.49112426035503,66.0,1.22,3.44,2.22,3.0269230769230764,0.6355029585798818,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.3846153846153846,1.0414201183431957,4.0,0.0,10.0,10.0,1.0769230769230769,1.668639053254438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,13.0,6.461538461538462,1.467455621301775,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.6923076923076923,0.5207100591715977,2.0,0.0,9.0,9.0,1.2307692307692308,2.082840236686391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,2.923076923076923,1.5621301775147929,2.0,9.105,34.7633333333,25.6583333333,13.168333333330771,6.275641025636688,9.105,0.0,0.464,0.464,0.0356923076923077,0.0658934911242603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,53.46153846153846,63.78698224852072,12.0
Pt1Sb2,0.11,51.0,78.0,27.0,60.0,12.0,51.0,63.0,85.0,22.0,77.66666666666667,9.777777777777777,85.0,121.76,195.084,73.324,146.20133333333334,32.58844444444444,121.76,903.78,2041.4,1137.62,1282.986666666667,505.60888888888894,903.78,10.0,15.0,5.0,13.333333333333334,2.222222222222222,15.0,5.0,6.0,1.0,5.333333333333333,0.4444444444444443,5.0,136.0,139.0,3.0,138.0,1.3333333333333333,139.0,2.05,2.28,0.2299999999999999,2.1266666666666665,0.1022222222222222,2.05,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,9.0,10.0,1.0,9.666666666666666,0.4444444444444446,10.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,15.0,24.0,9.0,18.0,4.0,15.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.6666666666666665,0.4444444444444445,3.0,15.02,31.56,16.54,26.046666666666667,7.35111111111111,31.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,225.0,59.0,185.66666666666663,26.222222222222214,166.0
Bi1.4Te3Sb0.6,0.17,51.0,83.0,32.0,60.56,12.566400000000002,52.0,85.0,90.0,5.0,88.28,2.064,90.0,121.76,208.9804,87.2204,149.68571200000002,33.205025280000015,127.6,544.4,903.78,359.38,694.4816,84.045696,722.66,15.0,16.0,1.0,15.6,0.4800000000000001,16.0,5.0,6.0,1.0,5.279999999999999,0.4031999999999997,5.0,138.0,148.0,10.0,140.92000000000002,3.964800000000007,138.0,2.02,2.1,0.08,2.0716,0.03408,2.1,2.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,1.0,3.6,0.48,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,3.92,5.644799999999999,0.0,15.0,29.0,14.0,19.52,5.3088,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,31.56,34.7633333333,3.203333333299998,33.87119999998,1.0705599999839974,34.7633333333,0.0,0.464,0.464,0.2784,0.22272,0.464,0.0,0.0,0.0,0.0,0.0,0.0,12.0,166.0,154.0,114.48,57.38880000000002,152.0
Si1Se2,1.74,14.0,34.0,20.0,27.33333333333333,8.88888888888889,34.0,78.0,89.0,11.0,85.33333333333333,4.88888888888889,89.0,28.0855,78.96,50.8745,62.00183333333333,22.610888888888883,78.96,494.0,1687.0,1193.0,891.6666666666666,530.2222222222222,494.0,14.0,16.0,2.0,15.333333333333334,0.8888888888888887,16.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,4.0,111.0,120.0,9.0,117.0,4.0,120.0,1.9,2.55,0.6499999999999999,2.333333333333333,0.2888888888888887,2.55,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.333333333333333,0.8888888888888888,4.0,0.0,10.0,10.0,6.666666666666667,4.444444444444444,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,12.0,12.0,5.333333333333333,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,20.44,25.92,5.48,24.093333333333334,2.435555555555556,25.92,0.773,0.799,0.026,0.7903333333333333,0.0115555555555555,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,227.0,213.0,85.0,94.66666666666669,14.0
Pb1Te0.05Se0.95,0.26,34.0,82.0,48.0,58.45,23.55,82.0,81.0,90.0,9.0,85.025,4.025,81.0,78.96,207.2,128.24,144.296,62.904,207.2,494.0,722.66,228.66,553.0215000000001,56.070425,600.61,14.0,16.0,2.0,15.0,1.0,14.0,4.0,6.0,2.0,5.025,0.975,6.0,120.0,146.0,26.0,133.45,12.7775,146.0,2.1,2.55,0.4499999999999997,2.42875,0.1151874999999998,2.33,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,7.0,7.0,14.0,16.0,28.0,12.0,22.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,4.0,25.92,34.7633333333,8.843333333299995,27.2360833333325,1.250279166665874,28.11,0.0,0.799,0.799,0.391125,0.391125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,122.95,103.5025,225.0
In4Te3,0.55,49.0,52.0,3.0,50.285714285714285,1.469387755102041,49.0,75.0,90.0,15.0,81.42857142857143,7.346938775510204,75.0,114.818,127.6,12.781999999999996,120.29599999999998,6.260571428571424,114.818,429.75,722.66,292.91,555.2828571428571,143.46612244897958,429.75,13.0,16.0,3.0,14.285714285714286,1.469387755102041,13.0,5.0,5.0,0.0,5.0,0.0,5.0,138.0,142.0,4.0,140.28571428571428,1.9591836734693888,142.0,1.78,2.1,0.32,1.9171428571428573,0.1567346938775511,1.78,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.2857142857142856,1.469387755102041,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,3.0,14.285714285714286,1.469387755102041,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.7142857142857135,1.469387755102041,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.7142857142857135,1.469387755102041,5.0,24.26,34.7633333333,10.503333333299995,28.761428571414285,5.144489795902039,24.26,0.0,0.464,0.464,0.1988571428571428,0.2272653061224489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,152.0,13.0,144.57142857142858,6.367346938775512,139.0
Cs1Bi1S2,1.4,16.0,83.0,67.0,42.5,26.5,16.0,5.0,88.0,83.0,66.75,30.875,88.0,32.065,208.9804,176.9154,101.503962975,69.43896297500001,32.065,301.59,544.4,242.81,405.6775,69.36125,388.36,1.0,16.0,15.0,12.0,5.5,16.0,3.0,6.0,3.0,4.5,1.5,3.0,105.0,244.0,139.0,150.5,46.75,105.0,0.79,2.58,1.79,1.9925,0.60125,2.58,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.75,1.375,4.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,14.0,14.0,3.5,5.25,0.0,1.0,29.0,28.0,10.5,9.25,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,3.0,3.0,1.75,0.875,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.5,2.0,25.786875,115.765,89.978125,50.0721875,32.84640625,25.786875,0.0,2.202,2.202,1.101,1.101,2.202,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,95.25,66.875,70.0
Ce2S3,1.12,16.0,58.0,42.0,32.8,20.16,16.0,15.0,88.0,73.0,58.8,35.04,88.0,32.065,140.116,108.05100000000002,75.28540000000001,51.86448,32.065,388.36,1071.0,682.64,661.4159999999999,327.6672,388.36,3.0,16.0,13.0,10.8,6.24,16.0,3.0,6.0,3.0,4.2,1.44,3.0,105.0,204.0,99.0,144.6,47.52,105.0,1.12,2.58,1.46,1.996,0.7008,2.58,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,4.0,6.0,2.0,5.2,0.96,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,3.6,4.32,0.0,0.0,13.0,13.0,5.2,6.24,0.0,2.0,22.0,20.0,10.0,9.6,2.0,25.786875,37.24,11.453125000000004,30.368125,5.497500000000001,25.786875,0.0,2.202,2.202,1.3212,1.05696,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,194.0,124.0,119.6,59.52,70.0
Rh1P2,1.0,15.0,45.0,30.0,25.0,13.333333333333334,15.0,59.0,83.0,24.0,75.0,10.666666666666666,83.0,30.973762,102.9055,71.931738,54.951008,31.96966133333333,30.973762,317.3,2237.0,1919.7,957.2,853.1999999999999,317.3,9.0,15.0,6.0,13.0,2.6666666666666665,15.0,3.0,5.0,2.0,3.6666666666666665,0.8888888888888888,3.0,107.0,142.0,35.0,118.66666666666669,15.555555555555555,107.0,2.19,2.28,0.0899999999999998,2.22,0.04,2.19,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,0.0,8.0,8.0,2.6666666666666665,3.555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,6.333333333333333,1.7777777777777777,5.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,13.64,22.5702380952,8.9302380952,19.593492063466663,3.968994708977778,22.5702380952,0.0,1.625,1.625,1.0833333333333333,0.7222222222222223,1.625,0.0,0.0,0.0,0.0,0.0,0.0,2.0,225.0,223.0,76.33333333333333,99.11111111111111,2.0
